
BUSES AND NODES IN ACTIVE CIRCUIT: grid_model

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...

"sourcebus"  10.000          (           NA,            NA )     No           3          1    2    3 
"1963"        0.400          ( 143.089001   , 36.237       )     No           3          1    2    3 
"1964"        0.400          ( 143.063      , 36.785       )     No           3          1    2    3 
"1965"        0.400          ( 142.191999   , 38.378       )     No           3          1    2    3 
"1966"        0.400          ( 142.083      , 38.023999    )     No           3          1    2    3 
"1967"        0.400          ( 141.876      , 36.912001    )     No           3          1    2    3 
"1968"        0.400          ( 144.239001   , 83.309       )     No           3          1    2    3 
"1969"        0.400          ( 205.2        , 64.273       )     No           3          1    2    3 
"1970"        0.400          ( 205.493001   , 66.829       )     No           3          1    2    3 
"1971"        0.400          ( 205.464      , 66.315       )     No           3          1    2    3 
"1972"        0.400          ( 218.482      , 94.531       )     No           3          1    2    3 
"1973"        0.400          ( 229.541      , 87.105001    )     No           3          1    2    3 
"1974"        0.400          ( 229.699      , 97.608       )     No           3          1    2    3 
"1975"        0.400          ( 206.499      , 150.861      )     No           3          1    2    3 
"1976"        0.400          ( 228.649      , 137.152      )     No           3          1    2    3 
"1977"        0.400          ( 186.538001   , 148.401      )     No           3          1    2    3 
"1978"        0.400          ( 210.660001   , 124.017      )     No           3          1    2    3 
"1979"        0.400          ( 210.16       , 107.811999   )     No           3          1    2    3 
"1980"        0.400          ( 142.735      , 35.365       )     No           3          1    2    3 
"1981"        0.400          ( 143.244      , 36.17        )     No           3          1    2    3 
"1982"        0.400          ( 143.179999   , 36.552       )     No           3          1    2    3 
"1983"        0.400          ( 138.947      , 44.986       )     No           3          1    2    3 
"1984"        0.400          ( 141.945001   , 38.03        )     No           3          1    2    3 
"1985"        0.400          ( 141.728      , 36.965       )     No           3          1    2    3 
"1986"        0.400          ( 144.256999   , 83.506       )     No           3          1    2    3 
"1987"        0.400          ( 205.15       , 63.923       )     No           3          1    2    3 
"1988"        0.400          ( 205.284999   , 64.46        )     No           3          1    2    3 
"1989"        0.400          ( 205.464      , 66.92        )     No           3          1    2    3 
"1990"        0.400          ( 205.299001   , 66.122       )     No           3          1    2    3 
"1991"        0.400          ( 218.544      , 94.971       )     No           3          1    2    3 
"1992"        0.400          ( 229.543      , 86.882       )     No           3          1    2    3 
"1993"        0.400          ( 229.860001   , 98.048       )     No           3          1    2    3 
"1994"        0.400          ( 206.549      , 150.979      )     No           3          1    2    3 
"1995"        0.400          ( 233.792999   , 135.955      )     No           3          1    2    3 
"1996"        0.400          ( 185.276      , 149.444      )     No           3          1    2    3 
"1997"        0.400          ( 210.561      , 124.065      )     No           3          1    2    3 
"1998"        0.400          ( 210.306      , 107.957      )     No           3          1    2    3 
"1999"        0.400          ( 142.703      , 34.963       )     No           3          1    2    3 
"2000"        0.400          ( 143.621      , 36.086       )     No           3          1    2    3 
"2001"        0.400          ( 143.271      , 36.423999    )     No           3          1    2    3 
"2002"        0.400          ( 137.792      , 47.740999    )     No           3          1    2    3 
"2003"        0.400          ( 141.607      , 37.986       )     No           3          1    2    3 
"2004"        0.400          ( 141.41       , 37.103       )     No           3          1    2    3 
"2005"        0.400          ( 142.999999   , 85.261001    )     No           3          1    2    3 
"2006"        0.400          ( 205.044      , 63.554       )     No           3          1    2    3 
"2007"        0.400          ( 205.395      , 64.611001    )     No           3          1    2    3 
"2008"        0.400          ( 205.443999   , 67.021       )     No           3          1    2    3 
"2009"        0.400          ( 205.134      , 66.012       )     No           3          1    2    3 
"2010"        0.400          ( 218.773      , 95.341       )     No           3          1    2    3 
"2011"        0.400          ( 229.318      , 87.299       )     No           3          1    2    3 
"2012"        0.400          ( 230.000001   , 84.261       )     No           3          1    2    3 
"2013"        0.400          ( 232.615      , 104.313      )     No           3          1    2    3 
"2014"        0.400          ( 206.668      , 151.081      )     No           3          1    2    3 
